1979; 4003390.3
1980; 3304298.4
1981; 3414480.0
1982; 4295484.8
1983; 4030943.9
1984; 3628731.3
1985; 3727446.1
1986; 3725958.1
1987; 4124870.3
1988; 3977158.1
1989; 3938612.6
1990; 3977937.1
1991; 3820492.6
1992; 3583491.9
1993; 3679754.5
1994; 4561525.5
1995; 4639725.2
1996; 4194895.2
1997; 3468212.6
1998; 4118611.0
1999; 3989417.4
2000; 4096867.7
2001; 4742109.4
2002; 3758624.2
2003; 4669970.6
2004; 4736860.3
2005; 4183996.1
2006; 3302262.6
2007; 3970673.2
2008; 5368700.0
2009; 4635276.1
2010; 4042276.5
2011; 3526129.7
2012; 3990687.6
2013; 5141222.3
2014; 5012857.3
2015; 5127836.1
2016; 4212598.1
2017; 2938024.5
2018; 3719318.0
2019; 3306006.4
2020; 4105082.7
2021; 4563904.9
2022; 3101254.0
2023; 3117933.2
2024; 3461382.6
2025; 3275986.3
