1979; 5417339.0
1980; 4570981.0
1981; 4410546.8
1982; 5281071.9
1983; 4772976.5
1984; 4803591.3
1985; 4492005.5
1986; 5427471.6
1987; 5148674.5
1988; 4697241.6
1989; 4748806.1
1990; 4878540.6
1991; 5349705.5
1992; 4759240.3
1993; 4420893.5
1994; 4978111.6
1995; 5649887.4
1996; 5881831.3
1997; 4208358.4
1998; 4475608.1
1999; 4827366.8
2000; 4759827.7
2001; 5243564.5
2002; 4750277.4
2003; 5706228.1
2004; 5510763.2
2005; 4589115.5
2006; 3910934.2
2007; 4477220.0
2008; 6135958.4
2009; 5538512.3
2010; 4784631.0
2011; 4391387.7
2012; 4924643.2
2013; 5334128.1
2014; 6093475.5
2015; 6551881.5
2016; 4555332.7
2017; 3697520.5
2018; 4023060.0
2019; 3727037.7
2020; 4339272.7
2021; 4449511.6
2022; 3780271.3
2023; 3219816.7
2024; 3983446.6
2025; 4673479.5
