1979;17843448.4
1980;18593374.2
1981;18300854.8
1982;17812332.3
1983;17933203.2
1984;17592093.5
1985;18229661.3
1986;17193941.9
1987;17687248.4
1988;18375377.4
1989;17869661.3
1990;17962345.2
1991;17931141.9
1992;17947971.0
1993;18142358.1
1994;18105093.5
1995;18043974.2
1996;17978871.0
1997;18007345.2
1998;18675061.3
1999;18367567.7
2000;18144429.0
2001;17740261.3
2002;17879874.2
2003;18237854.8
2004;18510745.2
2005;18316290.3
2006;18728229.0
2007;18475693.5
2008;18040993.5
2009;18335700.0
2010;18684532.3
2011;17737622.6
2012;18603684.0
2013;19102461.9
2014;19039070.5
2015;18438835.0
2016;17439357.3
2017;17802670.1
2018;17701521.6
2019;17959895.2
2020;18509569.2
2021;17618758.3
2022;17464337.7
2023;16296469.4
2024;16594791.9
2025;17090116.3
