1998	12	10531362
1999	1	4827367
1999	2	2977395
1999	3	3989417
1999	4	6903805
1999	5	10277765
1999	6	13661797
1999	7	16295594
1999	8	17972445
1999	9	18711307
1999	10	18367568
1999	11	15978160
1999	12	10733381
2000	1	4759828
2000	2	2918075
2000	3	4096868
2000	4	7143358
2000	5	10932446
2000	6	13905330
2000	7	16111110
2000	8	18220387
2000	9	18901870
2000	10	18144429
2000	11	15770383
2000	12	9920022
2001	1	5243565
2001	2	3660998
2001	3	4742109
2001	4	7055242
2001	5	10341392
2001	6	13430320
2001	7	15864926
2001	8	17436297
2001	9	18188833
2001	10	17740261
2001	11	15623013
2001	12	10357446
2002	1	4750277
2002	2	2970750
2002	3	3758624
2002	4	6338585
2002	5	9523210
2002	6	12387113
2002	7	15426648
2002	8	17079510
2002	9	17901477
2002	10	17879874
2002	11	15417600
2002	12	10795359
2003	1	5706228
2003	2	3946344
2003	3	4669971
2003	4	7376351
2003	5	10837962
2003	6	14080023
2003	7	16501700
2003	8	17704377
2003	9	18403463
2003	10	18237855
2003	11	15921137
2003	12	10181055
2004	1	5510763
2004	2	3754717
2004	3	4736860
2004	4	7440520
2004	5	10620684
2004	6	13958653
2004	7	16512119
2004	8	18167113
2004	9	19051057
2004	10	18510745
2004	11	15848437
2004	12	9830075
2005	1	4589115
2005	2	3048151
2005	3	4183996
2005	4	7075472
2005	5	10342446
2005	6	13311927
2005	7	16201787
2005	8	17948584
2005	9	18774390
2005	10	18316290
2005	11	15949983
2005	12	9077425
2006	1	3910934
2006	2	2679304
2006	3	3302263
2006	4	6067836
2006	5	9538382
2006	6	13435493
2006	7	16212510
2006	8	18185000
2006	9	19125513
2006	10	18728229
2006	11	15972200
2006	12	9487093
2007	1	4477220
2007	2	3012920
2007	3	3970673
2007	4	6496107
2007	5	9745262
2007	6	13403340
2007	7	16048939
2007	8	17752465
2007	9	18920670
2007	10	18475694
2007	11	15665923
2007	12	11643358
2008	1	6135958
2008	2	3852968
2008	3	5368700
2008	4	8356759
2008	5	11182068
2008	6	14205827
2008	7	16197994
2008	8	17766839
2008	9	18219697
2008	10	18040994
2008	11	16096803
2008	12	10952294
2009	1	5538512
2009	2	3172173
2009	3	4635276
2009	4	7918972
2009	5	11049022
2009	6	14054660
2009	7	16337400
2009	8	18161681
2009	9	19005247
2009	10	18335700
2009	11	15671050
2009	12	10292219
2010	1	4784631
2010	2	3197855
2010	3	4042276
2010	4	6836048
2010	5	10722407
2010	6	14494410
2010	7	16975732
2010	8	18626748
2010	9	18838833
2010	10	18684532
2010	11	16435093
2010	12	10731119
2011	1	4391388
2011	2	2705578
2011	3	3526130
2011	4	6187999
2011	5	10199345
2011	6	13421693
2011	7	15843229
2011	8	17882184
2011	9	18810497
2011	10	17737623
2011	11	15127290
2011	12	10440906
2012	1	4924643
2012	2	3055370
2012	3	3990688
2012	4	6644277
2012	5	9772877
2012	6	12851509
2012	7	15574690
2012	8	17472478
2012	9	18967848
2012	10	18603684
2012	11	15913788
2012	12	9966942
2013	1	5334128
2013	2	3896437
2013	3	5141222
2013	4	7723749
2013	5	11030187
2013	6	14263663
2013	7	16884030
2013	8	18752669
2013	9	19486501
2013	10	19102462
2013	11	16729343
2013	12	11469040
2014	1	6093476
2014	2	3881396
2014	3	5012857
2014	4	8425600
2014	5	11652044
2014	6	14808005
2014	7	17228916
2014	8	18984467
2014	9	19846204
2014	10	19039070
2014	11	16178059
2014	12	11544885
2015	1	6551881
2015	2	3870815
2015	3	5127836
2015	4	8484454
2015	5	11834975
2015	6	14591174
2015	7	16835034
2015	8	17810269
